tic,datadate,gvkeyx,conm,indextype,indexid,indexcat,idxiddesc,prccm,prchm,prclm
I6UNK059,2020-01-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,410.70810000,424.55820000,410.70810000
I6UNK059,2020-02-29,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,375.65300000,433.90320000,375.65300000
I6UNK059,2020-03-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,320.05950000,386.29940000,279.65650000
I6UNK059,2020-04-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,340.02520000,347.06150000,309.05580000
I6UNK059,2020-05-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,350.35970000,355.46590000,326.71160000
I6UNK059,2020-06-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,360.33800000,375.31830000,353.06730000
I6UNK059,2020-07-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,356.32550000,376.69620000,356.32550000
I6UNK059,2020-08-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,366.50500000,374.88090000,362.48700000
I6UNK059,2020-09-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,361.09200000,373.13130000,355.51220000
I6UNK059,2020-10-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,342.36040000,372.99740000,341.75600000
I6UNK059,2020-11-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,389.35950000,393.23230000,347.86410000
I6UNK059,2020-12-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,399.03370000,401.61000000,386.69390000
I6UNK059,2021-01-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,395.84550000,411.99520000,395.84550000
I6UNK059,2021-02-28,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,404.98840000,419.46670000,400.77360000
I6UNK059,2021-03-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,429.59990000,430.65340000,408.67590000
I6UNK059,2021-04-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,437.39100000,442.49140000,432.21940000
I6UNK059,2021-05-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,446.76360000,448.97560000,433.65070000
I6UNK059,2021-06-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,452.83730000,459.85930000,450.09540000
I6UNK059,2021-07-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,461.74440000,463.83780000,444.28970000
I6UNK059,2021-08-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,470.88110000,475.83450000,464.44940000
I6UNK059,2021-09-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,454.80580000,475.18920000,452.35340000
I6UNK059,2021-10-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,475.50670000,475.73780000,450.77330000
I6UNK059,2021-11-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,462.96100000,489.94940000,462.96100000
I6UNK059,2021-12-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,487.79820000,488.70800000,462.77130000
I6UNK059,2022-01-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,468.88430000,494.34580000,456.35670000
I6UNK059,2022-02-28,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,453.10750000,477.00740000,438.96010000
I6UNK059,2022-03-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,455.86040000,462.09270000,415.01380000
I6UNK059,2022-04-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,450.39250000,463.07070000,441.09570000
I6UNK059,2022-05-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,443.34660000,446.57240000,417.45560000
I6UNK059,2022-06-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,407.20290000,444.12430000,402.40380000
I6UNK059,2022-07-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,438.28550000,438.28550000,400.68380000
I6UNK059,2022-08-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,415.11840000,443.07050000,415.11840000
I6UNK059,2022-09-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,387.85350000,427.74870000,382.89320000
I6UNK059,2022-10-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,412.19830000,412.19830000,385.88250000
I6UNK059,2022-11-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,440.04450000,440.84120000,409.55280000
I6UNK059,2022-12-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,424.88780000,443.96490000,424.18500000
I6UNK059,2023-01-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,453.21490000,457.53210000,428.94940000
I6UNK059,2023-02-28,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,461.11160000,465.23610000,453.09450000
I6UNK059,2023-03-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,457.84020000,464.26320000,436.30910000
I6UNK059,2023-04-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,466.63550000,469.00110000,456.59270000
I6UNK059,2023-05-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,451.76140000,468.90770000,451.76140000
I6UNK059,2023-06-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,461.92940000,466.80500000,452.67970000
I6UNK059,2023-07-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,471.34580000,471.74200000,447.21730000
I6UNK059,2023-08-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,458.19260000,467.15860000,448.43880000
I6UNK059,2023-09-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,450.22220000,461.92670000,446.90530000
I6UNK059,2023-10-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,433.66100000,453.62870000,429.57850000
I6UNK059,2023-11-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,461.61370000,461.61370000,436.57120000
I6UNK059,2023-12-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,479.02470000,479.02470000,465.77600000
I6UNK059,2024-01-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,485.66960000,485.66960000,467.71290000
I6UNK059,2024-02-29,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,494.61230000,497.24730000,482.82590000
I6UNK059,2024-03-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,511.74560000,511.74560000,496.26770000
I6UNK059,2024-04-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,504.88920000,511.74560000,498.20980000
I6UNK059,2024-05-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,518.17000000,524.70690000,503.20690000
I6UNK059,2024-06-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,511.41970000,524.67610000,511.05260000
I6UNK059,2024-07-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,518.18030000,524.08480000,508.62570000
I6UNK059,2024-08-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,525.05210000,525.05210000,487.04750000
I6UNK059,2024-09-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,522.88500000,528.07720000,506.56080000
I6UNK059,2024-10-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,505.39220000,524.99300000,505.39220000
I6UNK059,2024-11-30,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,510.24740000,512.36920000,500.49450000
I6UNK059,2024-12-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,507.62410000,521.21770000,502.18910000
I6UNK059,2025-01-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,539.53020000,539.53020000,507.62410000
I6UNK059,2025-02-28,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,557.18740000,559.66730000,534.84800000
I6UNK059,2025-03-31,150376,STOXX 600 Price Index,COMPOSITE,STOXX,DOW,Dow Jones STOXX Indices,533.92480000,563.12550000,533.92480000
